SubDistrictId,SubDistrictNameTH,SubDistrictNameEN,SubDistrictCamelCase,ZipCode,DistrictId,DistrictNameTH,DistrictNameEN,DistrictNameCamelCase,ProvinceId,ProvinceNameTH,ProvinceNameEN,ProvinceCamelCase
860801,ปากตะโก,Pak Tako,PakTako,86220,8608,ทุ่งตะโก,Thung Tako,ThungTako,86,ชุมพร,Chumphon,Chumphon
810505,อ่าวลึกน้อย,Ao Luek Noi,AoLuekNoi,81110,8105,อ่าวลึก,Ao Luek,AoLuek,81,กระบี่,Krabi,Krabi
850109,เกาะพยาม,Ko Phayam,KoPhayam,85000,8501,เมืองระนอง,Mueang Ranong,MueangRanong,85,ระนอง,Ranong,Ranong
810505,อ่าวลึกน้อย,Ao Luek Noi,AoLuekNoi,81110,8105,อ่าวลึก,Ao Luek,AoLuek,81,กระบี่,Krabi,Krabi
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
850105,ปากน้ำ,Pak Nam,PakNam,85000,8501,เมืองระนอง,Mueang Ranong,MueangRanong,85,ระนอง,Ranong,Ranong
830301,เทพกระษัตรี,Thep Krasattri,ThepKrasattri,83110,8303,ถลาง,Thalang,Thalang,83,ภูเก็ต,Phuket,Phuket
850109,เกาะพยาม,Ko Phayam,KoPhayam,85000,8501,เมืองระนอง,Mueang Ranong,MueangRanong,85,ระนอง,Ranong,Ranong
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
850105,ปากน้ำ,Pak Nam,PakNam,85000,8501,เมืองระนอง,Mueang Ranong,MueangRanong,85,ระนอง,Ranong,Ranong
810106,เขาทอง,Khao Thong,KhaoThong,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
200905,แสมสาร,Samae San,SamaeSan,20180,2009,สัตหีบ,Sattahip,Sattahip,20,ชลบุรี,Chon Buri,ChonBuri
810502,แหลมสัก,Laem Sak,LaemSak,81110,8105,อ่าวลึก,Ao Luek,AoLuek,81,กระบี่,Krabi,Krabi
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
810105,เขาคราม,Khao Khram,KhaoKhram,81000,8101,เมืองกระบี่,Mueang Krabi,MueangKrabi,81,กระบี่,Krabi,Krabi
830103,เกาะแก้ว,Ko Kaeo,KoKaeo,83000,8301,เมืองภูเก็ต,Mueang Phuket,MueangPhuket,83,ภูเก็ต,Phuket,Phuket
220602,เกาะเปริด,Ko Proet,KoProet,22130,2206,แหลมสิงห์,Laem Sing,LaemSing,22,จันทบุรี,Chanthaburi,Chanthaburi
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
860306,ปากคลอง,Pak Khlong,PakKhlong,86210,8603,ปะทิว,Pathio,Pathio,86,ชุมพร,Chumphon,Chumphon
860801,ปากตะโก,Pak Tako,PakTako,86220,8608,ทุ่งตะโก,Thung Tako,ThungTako,86,ชุมพร,Chumphon,Chumphon
910106,เกาะสาหร่าย,Ko Sarai,KoSarai,91000,9101,เมืองสตูล,Mueang Satun,MueangSatun,91,สตูล,Satun,Satun
200408,นาเกลือ,Na Kluea,NaKluea,20150,2004,บางละมุง,Bang Lamung,BangLamung,20,ชลบุรี,Chon Buri,ChonBuri
230601,เกาะหมาก,Ko Mak,KoMak,,2306,เกาะกูด,Ko Kut,KoKut,23,ตราด,Trat,Trat
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
210305,กร่ำ,Kram,Kram,21190,2103,แกลง,Klaeng,Klaeng,21,ระยอง,Rayong,Rayong
860706,ด่านสวี,Dan Sawi,DanSawi,86130,8607,สวี,Sawi,Sawi,86,ชุมพร,Chumphon,Chumphon
840401,อ่างทอง,Ang Thong,AngThong,84140,8404,เกาะสมุย,Ko Samui,KoSamui,84,สุราษฎร์ธานี,Surat Thani,SuratThani
810505,อ่าวลึกน้อย,Ao Luek Noi,AoLuekNoi,81110,8105,อ่าวลึก,Ao Luek,AoLuek,81,กระบี่,Krabi,Krabi
